gas line located	gas line easement	1.0	
issues to address	issues to do	1.0	
estimate to construct	estimate to cover	1.0	
to construct a	to construct the	0.75	
resulted in a	resulted in incremental	0.5	resulted in ns	0.5	
a revised set	a revised bid	0.5714285714285714	
specifications that now	specifications that you	1.0	
minimum delivery pressure	minimum delivery requirements	1.0	
In order to	In order to	0.8275862068965517	
account for the	account for the	0.5	
Estimate to plot	Estimate to cover	1.0	
items to Caithness	items to date	0.75	
be addressed concurrently	be addressed prior	0.5	be addressed immediately	0.5	
open season requirements	open season for	1.0	
meeting to discuss	meeting to see	0.5	
I met with	I met with	1.0	
Let me know	Let me know	0.925531914893617	
know if you	know if you	0.5614035087719298	
you want to	you want to	0.6630434782608695	
during our entire	during our phone	1.0	
our entire meal	our entire group	0.5	
was only when	was only one	0.6	
quite a bit	quite a ways	0.75	
I agreed with	I agreed to	1.0	
agreed with him	agreed with the	1.0	
him about our	him about the	1.0	
also let him	also let me	1.0	
let him know	let him know	1.0	
him know how	him know he	1.0	
know how much	know how you	0.6666666666666666	
his handling of	his handling of	1.0	
a family member	a family that	0.5	a family of	0.5	
I would really	I would like	0.5248618784530387	
to leave things	to leave the	1.0	
talking with me	talking with contractors	1.0	
a lot of	a lot of	0.5769230769230769	
in all I	in all your	0.5	
away with three	away with better	0.5	away with our	0.5	
very important things	very important that	0.6	
I got everything	I got your	0.5	
I wanted to	I wanted to	1.0	
wanted to and	wanted to give	0.6410256410256411	
a lot of	a lot of	0.5769230769230769	
of issues in	of issues with	0.6666666666666666	
and might never	and might be	1.0	
talk to you	talk to you	0.7111111111111111	
him about the	him about the	1.0	
he thought it	he thought he	1.0	
thought it was	thought it would	0.5714285714285714	
Talk to you	Talk to you	0.7111111111111111	
was very touching	was very rough	1.0	
I just forwarded	I just want	0.62	
a bunch of	a bunch of	1.0	
bunch of people	bunch of degree	1.0	
too good not	too good to	0.5	
that works for	that works for	1.0	
works for you	works for me	0.5	
go ahead and	go ahead and	0.8055555555555556	go ahead a	0.8888888888888888	
myself and all	myself and possibly	0.5	
and all of	and all of	0.8181818181818182	
none of them	none of the	1.0	
are worth a	are worth a	1.0	
was more of	was more than	0.8333333333333334	
more of an	more of these	0.6	
off for Christmas	off for the	1.0	
so this trip	so this is	0.6	
Let me know	Let me know	0.925531914893617	
been changed to	been changed in	1.0	
Sorry for the	Sorry for all	0.5	Sorry for the	0.5	
as it is	as it is	0.5476190476190477	
let me know	let me know	0.925531914893617	
the language for	the language the	0.5	
language for this	language for options	0.5	
Please see the	Please see the	0.8823529411764706	
unsure about what	unsure about sizes	1.0	
about what we	about what is	0.5	
Below is our	Below is a	0.6111111111111112	
on his memo	on his deposit	0.6923076923076923	
that these are	that these id	0.5714285714285714	
will not sign	will not be	0.6712328767123288	
Please respond so	Please respond to	0.8571428571428571	
to incur certain	to incur the	1.0	
into one of	into one lot	1.0	
one of its	one of the	0.6210526315789474	
a cost of	a cost plus	0.6666666666666666	
estimated cost of	estimated cost to	0.75	
these costs are	these costs and	0.5714285714285714	
let me know	let me know	0.925531914893617	
know if you	know if you	0.5614035087719298	
have any questions	have any questions	0.5973154362416108	
the costs broken	the costs of	0.5882352941176471	
or need more	or need any	1.0	
please give me	please give me	1.0	
give me a	give me a	0.7272727272727273	
an average of	an average of	0.6333333333333333	
not reply to	not reply directly	1.0	
add your name	add your name	1.0	
draft of our	draft of a	0.75	
any additional comments	any additional information	1.0	
no later than	no later than	0.8571428571428571	
Commission to eliminate	Commission to accept	0.5	Commission to perform	0.5	
rather than clarify	rather than into	0.5	
to preserve our	to preserve documents	1.0	
that only senior	that only of	1.0	
With respect to	With respect to	1.0	
to these last	to these trade	0.5714285714285714	
last two arguments	last two years	0.5	
decided that we	decided that if	1.0	
it our way	it our web	0.625	
our way without	our way to	0.8	
release is to	release is ng	0.5	release is available	0.5	
you not forward	you not signed	0.6	
are most familiar	are most sustainable	1.0	
familiar with this	familiar with the	1.0	
setting up a	setting up a	0.5714285714285714	
a meeting time	a meeting for	0.5555555555555556	
meeting time to	meeting time and	1.0	
see when you	see when your	0.5	see when you	1.0	
but please bear	but please note	1.0	
months ago several	months ago which	1.0	
several of us	several of you	1.0	
the maximum tariff	the maximum loan	1.0	
the maximum tariff	the maximum loan	1.0	
shall be allocated	shall be determined	0.6	
probably the best	probably the largest	0.5	probably the answer	0.5	
best way to	best way to	0.8888888888888888	
to ensure that	to ensure that	0.631578947368421	
ensure that TW	ensure that you	0.75	
the true value	the true custom	1.0	
the capacity would	the capacity nor	0.6	
of risk to	of risk and	0.5294117647058824	
to both the	to both rate	1.0	
been asked by	been asked to	1.0	
the Commercial Group	the Commercial support	1.0	
Group to revisit	Group to participate	0.5	
to think of	to think about	1.0	
to charge more	to charge my	0.75	
would like to	would like to	0.8363636363636363	
the language I	the language the	0.5	
are probably stuck	are probably very	0.6	
stuck with this	stuck with its	1.0	
looking into why	looking into the	0.5	
the language is	the language the	0.5	
language is in	language is included	1.0	
to entertain individual	to entertain the	1.0	
but only where	but only of	0.75	
the ability to	the ability to	0.9411764705882353	
to choose a	to choose any	0.6	
would prevent pipelines	would prevent anyone	1.0	
fall back to	fall back to	1.0	
went on to	went on to	1.0	
an existing shipper	an existing state	0.6	
to continue its	to continue to	0.5	
the maximum tariff	the maximum loan	1.0	
policy is clearly	policy is signed	1.0	
only the recourse	only the authorized	0.5	
not lose access	not lose good	1.0	
someone else is	someone else this	1.0	
else is willing	else is discussed	0.75	
there is capacity	there is a	0.5118110236220472	
the maximum recourse	the maximum loan	1.0	
for example on	for example if	0.6428571428571429	
available and two	available and answers	0.8	
and two shippers	and two there	1.0	
request that capacity	request that our	1.0	
who is willing	who is a	0.8461538461538461	
pay no more	pay no annual	1.0	
and another a	and another on	0.5	
provided for pro	provided for informational	1.0	
filed for authority	filed for bankruptcy	1.0	
authority to charge	authority to products	1.0	
to charge negotiated	to charge my	0.75	
the statement that	the statement and	1.0	
the maximum tariff	the maximum loan	1.0	
the maximum tariff	the maximum loan	1.0	
we needed to	we needed to	1.0	
I would like	I would like	0.5248618784530387	
would like to	would like to	0.8363636363636363	
know whether you	know whether the	1.0	
some time now	some time today	0.5	some time but	0.5	
to prove lack	to prove it	1.0	
of market power	of market oriented	0.75	
believe you were	believe you received	0.5	
we talked about	we talked briefly	1.0	
has asked whether	has asked that	0.7272727272727273	
